Deutsch,English
"Es ist normal, Fehler zu machen.",It's normal to make mistakes.
Wir haben in desem Gebiet sehr viel Erfahrung.,We have a lot of experience in this area.
Ich bin nicht gegen diese Idee.,I'm not against this idea.
Er möchte bald in Urlaub fahren.,He wants to go on vacation soon.
"Hast du die E-Mail gesehen, die ich dir diesen Morgen geschickt habe?",Did you see the e-mail I sent you this morning?
"Ich erinnere mich nicht an das letzte Mal, dass ich Zucker gegessen habe.",I don't remember the last time I ate sugar.
Das ist normal hier.,That's normal here.
Sie hat ihr Geschenk sofort geöffnet.,She opened her present right away.
"Ich werde den Zug nehmen, weil es schneller ist.",I'll take the train because it's faster.
Ich habe deinen Anruf nicht gehört.,I didn't hear your call.
Alles wird gut. Keine Sorge.,Everything will be fine. Don't worry.
Das ist super!,This is great!
Ich bin nicht durstig.,I'm not thirsty.
Im Allgemeinen haben Asiaten dunkles Haar.,"Generally, Asians have dark hair."
"Sie sagte, dass sie krank sei.",She said she was sick.
Ich möchte vor dem Essen meine Hände waschen.,I want to wash my hands before eating.
Ich muss zur Bank gehen.,I have to go to the bank.
Normalerweise höre ich Musik wenn ich im Flugzeug bin.,I usually listen to music when I'm on the plane.
"Erkläre bitte, warum du nicht kommen kannst.",Please explain why you can't come.
Ich bin wirklich beschäftigt auf der Arbeit.,I'm really busy at work.
Gib mir einen Kuss.,Give me a kiss.
"Ich habe vergessen, einen Tisch im Restaurant zu reservieren.",I forgot to reserve a table at the restaurant.
"Wir haben eine Katze. Sagt Bescheid, falls jemand eine Allergie hat.",We have a cat. Let me know if anyone has allergies.
Ich habe heute sehr viel Energie.,I have a lot of energy today.
Wir versuchen armen Familien zu helfen.,We are trying to help poor families.
Ich habe noch zwei Wochen zu arbeiten.,I still have two weeks to work.
Funktioniert deine Internetverbindung gut?,Is your internet connection working well?
Niemand weiß es.,No one knows.
Beige Mäntel sind diesen Winter in Mode.,Beige coats are in fashion this winter.
Das Frühstück war köstlich.,Breakfast was delicious.
"Du musst an dich selbst glauben, wenn du Erfolg haben willst.",You have to believe in yourself if you want to succeed.
Nichts hat sich geändert.,Nothing has changed.
"Ich habe sichergestellt, dass zu Hause alles in Ordnung ist.",I made sure everything was in order at home.
Alle meine Kleider sind schmutzig.,All my clothes are dirty.
Ich muss meine Kleider waschen.,I have to wash my clothes.
"Es ist sehr schwierig, mit negativen Menschen zu reden.",It is very difficult to talk to negative people.
Sie leben auf einer kleinen Insel.,You live on a small island.
Normalerweise stehe ich früh auf.,I usually get up early.
Ich bin heute sehr früh aufgestanden. Um sechs.,I got up very early today. At six.
Ich mag ihre Musik.,I like their music.
Ich versuche mit dem Rauchen aufzuhören.,I'm trying to quit smoking.
"Wir waren einverstanden, alle Haushaltsarbeiten zu teilen.",We agreed to share all the household chores.
Wir müssen vor den Anderen ankommen.,We have to get there before the others.
Geh bitte ans Telefon.,"Answer the phone, please."
Er hat die Plastiktüte in den Müll geworfen.,He threw the plastic bag in the trash.
Ich mache nur Spaß.,I'm just kidding.
Sie hat einem alten Mann über die Straße geholfen.,She helped an old man cross the street.
"Es ist spät, ich werde ins Bett gehen.","It's late, I'm going to bed."
Nimm dieses Medikament nach jeder Mahlzeit.,Take this medicine after every meal.
Es gab einen Unfall auf der Straße.,There was an accident on the road.
Ich sollte mit Eva reden.,I should talk to Eva.
"Ich sage zu, doch unter einer Bedingung.","I agree, but on one condition."
"Du musst an dich selbst glauben, wenn du Erfolg haben willst.",You must believe in yourself if you want to succeed.
Ich bitte um Entschuldigung für meine Verspätung.,I apologize for my tardiness.
Was für eine schöne Überraschung dich zu sehen.,What a nice surprise to see you.
Sie können jeden Tag zur gleichen Zeit ins Büro.,You can go to the office at the same time every day.
Du findest immer Ausreden.,You always find excuses.
Ich bin in dich verliebt.,I'm in love with you.
Sie ist immer sehr gestresst.,She is always very stressed.
Sie möchte näher an der Natur leben.,She wants to live closer to nature.
Ab September wohne ich in Berlin.,From September I will live in Berlin.
Das scheint mir eine gute Idee zu sein.,That seems like a good idea.
Kauf bitte frische Erdbeeren.,Please buy fresh strawberries.
Was war der Grund der Explosion?,What was the reason for the explosion?
"Es scheint mir, als ob du jeden kennst.",It seems to me that you know everyone.
"Ich glaube, wir müssen die Brücke überqueren.",I think we have to cross the bridge.
Wo bist du? Das Meeting hat schon begonnen?,Where are you? The meeting has already started?
Hast du deinen Benutzernamen oder dein Passwort vergessen?,Did you forget your username or password?
Er bringt mich zum Lachen.,He makes me laugh.
Seit wann lernst du schon Englisch?,How long have you been learning English?
Wo hast du diesen lila Schal gekauft?,Where did you buy this purple scarf?
Wie viele Einwohner hat dein Heimatland?,How many inhabitants does your home country have?
Leg es auf den Tisch. Ich sehe es mir später an.,Put it on the table. I'll look at it later.
Bitte ruf mich sobald wie möglich an.,Please call me as soon as possible.
"Ein Freund hat mir empfohlen, hierher zu kommen.",A friend recommended that I come here.
Ich habe meine Eltern besucht.,I went to visit my parents.
Ich werde meine Freunde nächste Woche besuchen.,I will visit my friends next week.
"Es ist sehr schwierig, mit negativen Menschen zu reden.",It is very difficult to talk to negative people.
Zuerst geh geradeaus und dann bieg nach links ab.,First go straight and then turn left.
Das ist wahrscheinlich eine gute Idee.,That's probably a good idea.
Es war die wichtigste Entscheidung meines Lebens.,It was the most important decision of my life.
"Sie liebt Tiere, insbesondere Katzen.","She loves animals, especially cats."
"Ich hoffe, du machst Witze.",I hope you're kidding.
Ich habe genau das getan worum du mich gebeten hast.,I did exactly what you asked me to do.
Du verbirgst etwas vor mir.,You're hiding something from me.
Diese Zeitung erscheint einmal in der Woche.,This newspaper comes out once a week.
Wir müssen eine sehr wichtige Entscheidung treffen.,We have a very important decision to make.
Dieser Kuchen ist zu süß für mich.,This cake is too sweet for me.
Worüber wolltest du sprechen?,What did you want to talk about?
"Es ist zu heiß, um im August in der Stadt zu sein.",It's too hot to be in town in August.
Das ist der genaue Geldbetrag.,That's the exact amount of money.
"Ich wusste nicht, dass du auch auf der Veranstaltung warst.",I didn't know you were at the event too.
"Das ist das beste Eis, das ich je gegessen habe.",This is the best ice cream I've ever had.
Ich interessiere mich auch für Geschichte.,I'm also interested in history.
Ich kann nicht länger warten.,I can't wait any longer.
Das ist eine sehr schwierige Operation.,This is a very difficult operation.
Ich möchte eine Reservierung für drei Tage machen.,I want to make a reservation for three days.
Wovon handelt dieser Film?,What is this film about?
Er hat eine lange Unterhaltung mit dem Vater seiner Freundin.,He has a long conversation with his girlfriend's father.
Ich arbeite in einer großen Organisation.,I work in a big organization.
Ich hatte dasselbe Gefühl.,I had the same feeling.
"Nein, man kann nicht über seine eigenen Witze lachen.","No, you can't laugh at your own jokes."
Es ist eine große Geldsumme.,It's a big amount of money.
Toll. Das ist ziemlich günstig. ,Great. It's pretty cheap. 
Ich habe jemanden schreien hören.,I heard someone shouting.
Die Wirtschaftskrise ist vorübergegangen.,The economic crisis has passed.
Mein Fahrrad wurde gestern gestohlen.,My bike was stolen yesterday.
"Sie hoffen, dass sie dich bald kennenlernen.",They hope to meet you soon.
Ist das Stadtzentrum in der Nähe?,Is the city center nearby?
"Der Wind ist zu stark, um an den Strand zu gehen.",The wind is too strong to go to the beach.
Ich möchte immer alles kontrollieren.,I always want to check everything.
Sie möchten ihr Sommerhaus verkaufen.,They want to sell their summer house.
Einige Frauen rasieren sich nicht die Beine.,Some women don't shave their legs.
Verkauft er sein altes Auto?,Is he selling his old car?
Ich habe meine Wohnung für hunderttausend Euro verkauft.,I sold my apartment for a hundred thousand euros.
Ich bringe sofort Ihre Rechnung.,I'll bring your bill right away.
"Glücklicherweise bin ich einer Frau begegnet, die mir zeigte, wohin ich gehen soll.","Fortunately, I met a woman who showed me where to go."
Woher hast du diesen lila Schal?,Where did you get this purple scarf?
Sie antwortet nicht auf meine E-Mails.,She doesn't answer my e-mails.
Wie viel pro Monat ist die Miete?,How much per month is the rent?
Rom wurde nicht in einem Tag erbaut.,Rome wasn't built in a day.
Die Probezeit beträgt zwei Wochen.,The trial period is two weeks.
"Als ich klein war, haben wir immer draußen gespielt.","When I was little, we used to play outside."
Lass uns diese Unterhaltung ein andermal fortsetzen.,Let's continue this conversation another time.
Ich war ein Jahr lang Austauschstudent in Russland.,I was an exchange student in Russia for a year.
Wer hat dieses Buch geschrieben?,Who wrote this book?
Wir haben unterschiedliche Gerichte zum Abendessen zubereitet.,We prepared different dishes for dinner.
"Normalerweise trage ich ein Sakko, doch keine Krawatte.","I usually wear a jacket, but not a tie."
Ich möchte dir nur helfen.,I just want to help you.
In der Vergangheit haben alle Menschen Schreibmaschinen benutzt.,"In the past, everyone used typewriters."
Es hat den ganzen Tag geregnet.,It has been raining all day.
In dieser Wohnung gibt es viel Licht.,There is a lot of light in this apartment.
Ich werde vor der Bank auf dich warten.,I'll wait for you in front of the bank.
Diese Schauspielerin hat sehr viel Talent.,This actress has a lot of talent.
Wir müssen es nochmal tun.,We have to do it again.
Der Motor in diesem Auto ist wirklich kräftig.,The engine in this car is really powerful.
Es ist Jahre her.,It's been years.
Es ist furchtbar.,It's terrible.
Ich verstehe es nicht. Erklär mir nochmal wie es funktioniert.,I don't understand it. Explain to me again how it works.
"Als ich klein war, hatte ich Angst vor der Dunkelheit.","When I was little, I was afraid of the dark."
Diese kleine Stadt liegt im Süden Italiens.,This small town is in the south of Italy.
Im Allgemeinen haben Asiaten dunkles Haar.,"Generally, Asians have dark hair."
Bist du glücklich?,Are you happy?
Mein Onkel arbeitet im öffentlichen Bereich.,My uncle works in the public sector.
Meine Tante arbeitet schon seit mehreren Jahren in New York.,My aunt has been working in New York for several years.
Frohe Weihnachten!,Merry Christmas!
Sie haben einen neuen Geschäftsführer für die Firma gewählt.,You have chosen a new manager for the company.
Dank dir sind wir erfolgreich.,Thanks to you we are successful.
Das Kind meines Nachbarn hat die ganze Nacht geweint.,My neighbor's child cried all night.
Ich werde gegen acht Uhr ankommen.,I will arrive around eight o'clock.
Meine Augen sind blau.,My eyes are blue.
Er ist älter als ich.,He is older than me.
Sie sind ein bisschen jünger als ich.,You are a little younger than me.
Meine Füße tun weh. Ich bin fünfzehn Kilometer gelaufen.,My feet hurt. I have walked fifteen kilometers.
Wie viele Mitarbeiter gibt es in deiner Firma?,How many employees are there in your company?
Ich bin nur zweimal hier gewesen.,I've only been here twice.
"Ich möchte eine Vorspeise, ein Hauptgericht und auch ein Nachtisch.","I want an appetizer, a main course, and dessert, too."
Gut gemacht! Du hast die Mitte des Ziels getroffen.,Well done! You've hit the middle of the finish line.
"Einen Moment, bitte!","One moment, please!"
Der Frühling ist meine Lieblingsjahreszeit.,Spring is my favorite season.
Im Winter ist es richtig kalt hier.,It's really cold here in the winter.
Vielen Dank für das Kompliment!,Thanks for the compliment!
Diese Vögel fliegen im Herbst in den Süden.,These birds fly south in the fall.
Ich werde ein paar Kleider online bestellen.,I'm going to order some clothes online.
"Es ist nicht nur dumm, sondern auch lächerlich.","It's not only stupid, it's ridiculous."
Mach bitte den Fernseher aus.,"Turn off the TV, please."
Ich möchte das Sprechen üben.,I want to practice speaking.
Ich möchte diesen Winter in den Alpen Ski fahren.,I want to go skiing in the Alps this winter.
Ich habe sechs Stück Kuchen mitgebracht.,I brought six pieces of cake.
Wir haben vereinbart das Meeting um fünf zu halten.,We agreed to hold the meeting at five.
Dieses elektrische Auto wird überall verkauft.,This electric car is sold everywhere.
Dieses Kissen ist wirklich weich.,This pillow is really soft.
Ich habe meine Sachen für die Reise fertig zusammengepackt.,I finished packing my things for the trip.
Diese braune Krawatte gehörte meinem Großvater.,This brown tie belonged to my grandfather.
Es ist ein außergewöhnlicher Ort.,It's an extraordinary place.
Ich habe für eine lange Zeit hier gelebt.,I lived here for a long time.
Das ist die Hauptstraße der Stadt.,This is the main street of the city.
Wer sind diese Menschen? Ich kenne sie nicht.,Who are these people? I don't know them.
"Ich würde es unmöglich finden, ohne Kaffee zu leben.",I would find it impossible to live without coffee.
Wir müssen den Bus Nummer neun nehmen.,We have to take the number nine bus.
Viele Filme haben dasselbe Thema.,Many movies have the same theme.
Es ist zu dunkel hier. Mach bitte das Licht an.,"It's too dark in here. Turn on the light, please."
Ich verstehe dich zum größten Teil.,I understand you for the most part.
"Sie hatte keine Zeit, um das zu tun.",She didn't have time to do that.
"Ich bin heute zu Hause geblieben, da ich mich etwas krank fühle.",I stayed home today because I feel a little sick.
Sie müssen eine andere Farbe wählen.,You need to choose a different color.
"Erinnerst du dich an das Video, das du mir vor einigen Wochen gezeigt hast?",Remember that video you showed me a few weeks ago?
Kannst du dieses goldene Kreuz sehen?,Can you see that golden cross?
Ich kann mir eine Welt ohne Elektrizität nicht vorstellen.,I can't imagine a world without electricity.
Ich habe die Küche geputzt.,I was cleaning the kitchen.
Es endet in einer halben Stunde.,It ends in half an hour.
Bist du bereit?,Are you ready?
Sie hat ein schönes Lächeln.,She has a beautiful smile.
Wir haben unser Sommerhaus verkauft.,We sold our summer house.
Laut Untersuchungen ist Lachen gut für die Gesundheit.,"According to research, laughter is good for your health."
In deiner Socke ist ein großes Loch.,There's a big hole in your sock.
Die Tomate ist auf den Boden gefallen.,The tomato fell on the floor.
Ich würde alles für dich tun.,I would do anything for you.
Tausende von Menschen waren auf diesem Konzert. Es war unglaublich!,Thousands of people were at that concert. It was incredible!
Ich habe dein Handy auf den Tisch gelegt.,I put your cell phone on the table.
"Du verkaufst beruflich Autos, richtig?","You sell cars for a living, right?"
Sie ist sehr motiviert.,She's very motivated.
Nicht bewegen!,Don't move!
Wir waren vor langer Zeit Nachbarn.,We were neighbors a long time ago.
Ich verstehe dich vollkommen.,I understand you completely.
Wir müssen direkt zum Flughafen gehen.,We have to go straight to the airport.
Das ist nur meine Meinung.,That's just my opinion.
Diese kleine Stadt liegt im Süden Italiens.,This small town is in the south of Italy.
Ich lebe gerne im Norden da ich Schnee mag.,I like living in the north because I like snow.
Sie hat mein Herz gebrochen.,She broke my heart.
Wann haben wir das letzte Mal unsere Wohnung geputzt?,When was the last time we cleaned our apartment?
Meine Großmutter lebte ein langes glückliches Leben.,My grandmother lived a long happy life.
"Die Mehrheit der Menschen ist nicht fähig, den Unterschied zu erkennen.",The majority of people are not able to tell the difference.
Ich trage gerne Anzüge.,I like wearing suits.
Du kannst immer auf sie zählen.,You can always count on them.
"Normalerweise gehe ich jeden Tag joggen, außer wenn es regnet.",I usually go jogging every day except when it rains.
Ich gehe einmal im Monat zum Friseur.,I go to the hairdresser once a month.
Ich gehe regelmäßig joggen.,I go jogging regularly.
"Wenn ich mit dir zusammen bin, ist mir nie langweilig. ","When I'm with you, I'm never bored. "
Ich habe mich eine Woche lang entspannt.,I've been relaxing for a week.
Ich hatte gestern Abend Spaß.,I had fun last night.
Ich bin nicht ganz sicher.,I'm not quite sure.
"Ich wusste, dass er ein Künstler ist, aber nicht, dass er so gut ist.","I knew he was an artist, but I didn't know he was this good."
Das ist meine Kontonummer.,That's my account number.
Es ist mir eine Freude Sie kennenzulernen.,It's a pleasure to meet you.
Dieses Geräusch hält mich vom Schlafen ab.,This noise keeps me from sleeping.
Die Welt ist wie ein kleines Dorf.,The world is like a small village.
Er ist ihr einziger Sohn.,He's their only son.
Das scheint vernünftig zu sein.,That seems reasonable.
Ich habe heute keinen Unterricht.,I don't have a class today.
Dieses Kleid steht dir sehr gut.,That dress looks very nice on you.
Ich habe hier noch nie gegessen.,I've never eaten here before.
Sie haben schon gegessen.,You've already eaten.
Der Bildschirm meines Computers ist kaputt.,The screen on my computer is broken.
"Ich denke, dass es klar ist.",I think it's clear.
"Ich miete zurzeit eine Wohnung, möchte aber eines Tages eine kaufen.","I'm renting an apartment right now, but I'd like to buy one someday."
Er ist der Kapitän der Mannschaft.,He is the captain of the team.
Der Flug wird drei Stunden dauern.,The flight will take three hours.
Dieses Festival ist eine gute Gelegenheit neue Menschen kennenzulernen.,This festival is a good opportunity to meet new people.
Wir sollten es öfter tun.,We should do it more often.
Mein Traum ist wahr geworden.,My dream has come true.
Sie kennt die Wörter zu diesem Lied auswendig.,She knows the words to this song by heart.
Schließe deine Augen!,Close your eyes.
"Ich weiß nicht, was ich bestellen soll.",I don't know what to order.
"Mein Vater hat mir vor dem Schlafengehen vorgelesen, als ich klein war.",My father used to read to me before bed when I was little.
Was noch?,What else?
Was war der Grund der Explosion?,What was the reason for the explosion?
Ich treibe regelmäßig Sport.,I exercise regularly.
Ich kann dir eine lustige Geschichte erzählen.,I can tell you a funny story.
"Ich weiß nicht, wann sie zurückkommt.",I don't know when it will come back.
Die Wände seines Schlafzimmers sind mit Postern seiner Idole bedeckt.,The walls of his bedroom are covered with posters of his idols.
Wiederhole diese Sätze mit einer hohen Stimme.,Repeat these sentences in a high-pitched voice.
Ich kann im April nicht nach Dallas kommen.,I can't come to Dallas in April.
Er verschwendet zu viel Zeit beim Nichstun.,He wastes too much time doing nothing.
Ich habe es selbst gebaut.,I built it myself.
"Wir hoffen, diesen Sommer Spanien besuchen zu können.",We hope to visit Spain this summer.
Sie leitet ein Tanzstudio.,She runs a dance studio.
Meine Zähne schmerzen.,My teeth hurt.
Das ist ziemlich teuer.,It's quite expensive.
Das ist ein sehr gutes Angebot.,It's a very good deal.
"Das ist der Grund, warum ich später zurückgekommen bin.",That's the reason I came back later.
Er hat seine eigene Theorie entwickelt.,He developed his own theory.
Meine Arbeit ist getan.,My work is done.
Vom dreizehnten Mai bis zum siebzehnten Juni.,From the thirteenth of May to the seventeenth of June.
Der Winter wird dieses Jahr kalt sein.,The winter will be cold this year.
Wir haben drei Kinder und nicht genug Platz zu Hause.,We have three children and not enough space at home.
Du musst es sofort tun.,You have to do it right away.
Wir reisten am siebzehnten Juli ab.,We left on the seventeenth of July.
Es ist fast das Ende vom August.,It is almost the end of August.
Um Mitternacht gab es ein Feuerwerk.,At midnight there were fireworks.
Es ist sehr überraschend dass ein Mann wie er single ist.,It's very surprising that a man like him is single.
"Ich dachte nicht, dass es wichtig ist.",I didn't think it was important.
Es gibt mehr als hundert Passagiere auf diesem Flug.,There are more than a hundred passengers on this flight.
"Sobald die Arbeit erledigt ist, gehen wir direkt in die Kneipe.","As soon as the work is done, we go straight to the pub."
"Ich habe vergessen, Herrn Mörike anzurufen.",I forgot to call Mr. Mörike.
Es wird bald September sein.,It will be September soon.
Ich ging sobald ich konnte.,I left as soon as I could.
"Als ich klein war, haben wir immer draußen gespielt.","When I was little, we used to play outside."
Wie lange bist du schon mit deinem Freund zusammen?,How long have you been with your boyfriend?
Lass uns diese Unterhaltung ein andermal fortsetzen.,Let's continue this conversation some other time.
Manchmal ist es anstrengend morgens aufzustehen.,Sometimes it's exhausting to get up in the morning.
"Lässt du immer das Fenster offen, wenn du schläfst?",Do you always leave the window open when you sleep?
Ihre Firma befindet sich in Österreich.,Your company is located in Austria.
"Descartes hat mal gesagt: „Ich denke, also bin ich.“","Descartes once said, ""I think, therefore I am."""
"Ich habe Gründe, auf die ich nicht eingehen kann.",I have reasons I can't go into.
Ich habe aus Versehen den falschen Bus genommen.,I accidentally took the wrong bus.
"Hilf mir, diese Kommode zu heben, sie ist ziemlich schwer.","Help me lift this dresser, it's pretty heavy."
"Als ich jünger war, habe ich oft Basketball gespielt.","When I was younger, I used to play basketball a lot."
Was ist das Geheimnis deines Erfolgs?,What is the secret of your success?
Ich habe in der Schule kein Deutsch gelernt.,I didn't learn German at school.
Heute ist der letzte Tag des Jahres.,Today is the last day of the year.
Sie ist sehr geduldig.,She is very patient.
Sie haben ein Holzhaus auf dem Land gebaut.,They built a wooden house in the country.
Das ist der einzige Weg.,That's the only way.
Kann ich mein Fahrrad drinnen stehen lassen?,Can I leave my bike inside?
Das ist ein wichtiger Brief.,This is an important letter.
"Mir scheint es so, als ob alle deine Ideen einfach genial wären.",It seems to me that all of your ideas are just brilliant.
Äpfel sind gerade in der Saison.,Apples are in season right now.
Ich höre gerne online Radio.,I love listening to the radio online.
"Vergiss nicht, deine Kamera mitzunehmen.",Don't forget to bring your camera.
Lass mich einen Moment nachdenken.,Let me think for a moment.
Dezember ist mein Lieblingsmonat.,December is my favorite month.
Er hat während des Meetings nichts gesagt.,He didn't say anything during the meeting.
Unsere Ergebnisse in diesem Jahr waren beeindruckend.,Our results this year have been impressive.
Vielen Dank für die Einladung.,Thank you so much for inviting me.
Ich brauche dich.,I need you.
Wir werden eine Wohnung für uns zwei mieten.,We will rent an apartment for the two of us.
Er ist noch nie hier gewesen.,He's never been here before.
Sie hat vergessen mich anzurufen.,She forgot to call me.
Wir sind noch nie hier gewesen.,We've never been here before.
Wir können dieses Angebot nicht annehmen.,We can't accept this offer.
Wir müssen ihr Angebot ablehnen.,We have to refuse her offer.
Dieser Sportler kommt aus Norwegen.,This athlete is from Norway.
Wir haben drei Kinder und nicht genug Platz zu Hause.,We have three children and not enough space at home.
Ich arbeite gut unter Drunk.,I work well under Drunk.
Das ist eine verrückte Idee.,This is a crazy idea.
"Lass uns schneller rennen, sonst verpassen wir den Bus.",Let's run faster or we'll miss the bus.
"Denkst du nicht, dass es ein bisschen komisch ist?",Don't you think it's a bit weird?
Versuche nicht zu fallen.,Try not to fall.
Es war ein wunderbarer Abend.,It was a wonderful evening.
Was ist die Hauptstadt von Finnland?,What's the capital of Finland?
Wir können uns diese oder nächste Woche treffen.,We can meet this week or next.
Er hat einen sehr guten Geschmack.,He has very good taste.
Fass meine Sachen nicht an.,Don't touch my things.
Komm bitte hoch ins dritte Stockwerk.,"Come up to the third floor, please."
"Jetzt sehe ich, wer meine wahren Freunde sind.",Now I see who my real friends are.
"Er wollte, dass es eine Überraschung ist.",He wanted it to be a surprise.
Das ist eine schlaue Entscheidung.,That's a smart decision.
Kennst du einen guten Club in der Nähe?,Do you know a good club nearby?
Ich habe dir den Link zu einem superlustigen Video geschickt.,I sent you the link to a super fun video.
Die meisten japanischen Tempel werden aus Holz gebaut.,Most Japanese temples are built of wood.
Die Ratte ist eines der intelligentesten Tiere.,The rat is one of the most intelligent animals.
"Er wollte, dass alles perfekt ist.",He wanted everything to be perfect.
Sie mussten mit unserem Chef reden.,They had to talk to our boss.
Ich habe gerade so vieles im Kopf.,I have so many things on my mind right now.
Sie leben auf einer kleinen Insel.,They live on a small island.
Er hat in England eine gute Bildung bekommen.,He got a good education in England.
Dein Sohn ist wirklich begabt.,Your son is really talented.
Heute möchte ich mich nur ausruhen.,Today I just want to rest.
Was ist gestern Abend passiert?,What happened last night?
Es ist wichtig zu wissen was du im Leben möchtest.,It's important to know what you want in life.
Er hat das Rennen verloren.,He lost the race.
Alle sind zu der Party gekommen.,Everyone came to the party.
"Ich habe gehört, dass Estland ein wunderbares Land ist.",I heard that Estonia is a wonderful country.
Das ist nicht logisch.,It's not logical.
Wir müssen unseren Planeten bewahren.,We have to preserve our planet.
Er kann so schnell rennen!,He can run so fast!
Die Journalisten wissen nichts über sein Privatleben.,The journalists don't know anything about his private life.
Du bist wirklich gut in Form.,You're in really good shape.
Er kann sehr stolz auf seinen Vater sein.,He can be very proud of his father.
Ich habe Kopfschmerzen.,I have a headache.
"Es scheint so, als ob alle Frauen in diesem Land schön wären.",It seems that all women in this country are beautiful.
Ich vertrete in deisem Meeting unsere Firma.,I represent our company in this meeting.
Das ist mein Chef.,This is my boss.
Jemand hat an der Tür geklopft.,Someone knocked on the door.
In diesem Wettbewerb gibt es fünfzehn Teilnehmer.,There are fifteen contestants in this contest.
"Sie ist Amerikanerin, lebt aber in Großbritannien.","She is American, but lives in the UK."
"Ich hasse diese Stadt so sehr, dass ich gehen möchte.",I hate this city so much that I want to leave.
Sie mussten eine Entscheidung treffen.,They had to make a decision.
Ich bin letzten Freitag mit meinen Freunden ausgegangen.,I went out with my friends last Friday.
Mein Urlaub beginnt in zwei Wochen,My vacation starts in two weeks
"Ich brauche Zeit, um darüber nachzudenken.",I need time to think about it.
Du kannst ihr jetzt gleich schreiben. Sie ist online.,You can write to her right now. She is online.
Meiner Meinung nach ist es nicht fair.,In my opinion it is not fair.
Sie hat schlechte Laune.,She's in a bad mood.
Ich war der einzige Mann im Sportklub.,I was the only man in the sports club.
"Wie Sie bereits wissen, spreche ich nicht allzu gut Französisch.","As you already know, I don't speak French too well."
Der Bus kam heute früher.,The bus came early today.
Sein Gesicht war rot.,His face was red.
Leider ist diese Wohnung schon verkauft worden.,"Unfortunately, this apartment has already been sold."
Ich muss dieses Wochenende so viele Sachen erledigen.,I have so many things to do this weekend.
Du kannst so viel nehmen wie du möchtest.,You can take as much as you want.
Er ist in unserer Firma für die Pressearbeit zuständig.,He's in charge of press relations at our company.
Ich buche meine Flüge immer online.,I always book my flights online.
Meine besten Waffen sind meine Worte.,My best weapons are my words.
Seine Frau ist deutsch.,His wife is German.
Diese Vögel fliegen im Herbst in den Süden.,These birds fly south in the fall.
Lass uns an der nächsten Tankstelle halten.,Let's stop at the next gas station.
Ihr Ehemann wird am Freitag eintreffen.,Her husband will arrive on Friday.
Ich bin heute um acht Uhr aufgewacht.,I woke up at eight o'clock today.
"Ich arbeite ständig und habe es versäumt, Zeit mit meinen Freunden zu verbringen.",I work all the time and missed spending time with my friends.
Die meisten meiner Freunde sind heute Abend hier.,Most of my friends are here tonight.
Hast du irgendwelche Nachrichten?,Do you have any news?
Diese zwei Länder sind momentan im Frieden.,These two countries are at peace right now.
Paul hat seinen kleinen Sohn in den Kindergarten gebracht.,Paul took his little son to kindergarten.
Ich werde diese Kleider selbst waschen.,I will wash these clothes myself.
Ich möchte mich vor dem Gehen waschen.,I want to wash before I go.
Im Sommer sind die Tage länger.,The days are longer in summer.
Plötzlich hat er einen anderen Mann geschlagen.,Suddenly he hit another man.
Du bist sehr mutig.,You are very brave.
Ich wurde zu einer internationalen Konferenz eingeladen.,I was invited to an international conference.
Sie haben mich zu sich zum Essen eingeladen.,They invited me to their house for dinner.
Ich habe endlich eine Lösung für unser Problem gefunden.,I finally found a solution to our problem.
"Achtung, bitte. Die Türen schließen.","Attention, please. Close the doors."
Ich habe ihr neues Album aus dem Internet runtergeladen.,I downloaded their new album from the Internet.
Man kann einen Krieg nie wirklich gewinnen.,You can never really win a war.
Die Preise sind heute fünfzig Prozent niedriger.,Prices are fifty percent lower today.
Wir werden zwei Bäume in unseren Garten pflanzen.,We're going to plant two trees in our backyard.
"Wie heißt diese Webseite, die du gestern erwähnt hast?",What's the name of that website you mentioned yesterday?
Das war gemein von ihm.,That was mean of him.
Das Spiel beginnt in einigen Minuten.,The game starts in a few minutes.
Wie kann ich dich erreichen?,How can I get in touch with you?
"Weißt du, welche Webseite die beste ist, um Hotels zu finden?",Do you know which website is the best to find hotels?
"Wenn du teilnehmen möchtest, musst du dich auf unserer Webseite anmelden.","If you want to participate, you have to register on our website."
"Sie ist sehr schüchtern und traut sich nicht, Fragen zu stellen.",She is very shy and does not dare to ask questions.
Ich fahre immer mit normaler Geschwindigkeit.,I always drive at normal speed.
Elektronische Musik war in den Achtzigern sehr beliebt.,Electronic music was very popular in the eighties.
Ich bin zu schnell gefahren und die Polizei hat mich angehalten.,I was speeding and the police stopped me.
Ich bin heute früh von meinem Fahrrad gefallen.,I fell off my bike this morning.
"Normalerweise putze ich mir die Zähne, bevor ich schlafen gehe.",I usually brush my teeth before I go to sleep.
Wir sind dank dir hier.,We are here thanks to you.
Es gibt eine gute Auswahl an Obst in diesem Laden.,There is a good selection of fruit in this store.
In diesem Fall stimme ich zu.,"In this case, I agree."
Mein Vater leitet mehrere Firmen im Ausland.,My father runs several companies abroad.
Diese Schuhe passen mir nicht.,These shoes don't fit me.
Ich habe es gestern verschickt. Du solltest es morgen empfangen.,I shipped it yesterday. You should receive it tomorrow.
Sie sind ein nettes Paar.,They are a nice pair.
Es ist alles in Ordnung. Ich verstehe dich. Du sprichst sehr gut.,It's all right. I understand you. You speak very well.
Was bedeutet es eigentlich?,What does it actually mean?
